he_displaced_threshold_ft,lighted,le_displaced_threshold_ft,le_elevation_ft,airport_ref,le_longitude_deg,surface,airport_ident,he_longitude_deg,width_ft,le_heading_degT,he_latitude_deg,length_ft,he_heading_degT,he_elevation_ft,id,le_ident,he_ident,le_latitude_deg,closed
,0,,,6747,,GRAVEL,03UT,,35,,,5000,,,256580,NE,SW,,0
,0,,,6747,,GRAVEL,03UT,,35,,,3250,,,256581,NW,SE,,0
,0,,,6749,,GRAVEL,03WA,,60,,,2800,,,252650,18,36,,0
,0,,,6750,,TURF,03WI,,60,,,1500,,,254284,N,S,,0
,0,,,6751,,GRVL,03WN,,70,,,2000,,,257028,07,25,,0
,0,,,345757,,CON,03XA,,54,,,54,,,345758,H1,,,0
,0,,,6752,,TURF-DIRT,03XS,,50,,,3200,,,255081,04,22,,0
,0,,,6752,,TURF,03XS,,50,,,1600,,,255082,15,33,,0
,0,,,325443,,Turf,04AA,,100,,,1300,,,325444,16,34,,0
,0,,,325443,,Turf,04AA,,68,,,825,,,325445,5,23,,0
,0,,,6753,,ASPH,04AL,,100,,,100,,,265077,H1,,,0
,1,,,6754,,ASPH,04AR,,40,,,40,,,265078,H1,,,0
,0,,,6756,-117.683,ASPH,04CA,-117.667,150,91.2,34.5637,5000,,,240582,08,26,34.564,0
600,0,,,6757,,GRVL-DIRT,04CL,,100,,,1900,,,253718,08,26,,0
,0,,,6758,,TURF,04CT,,100,,,50,,,265079,H1,,,0
,0,,,6759,,ASP,04F,,20,,,2400,,,328589,15,33,,1
,0,,,6760,,TURF,04FA,,212,,,2620,,,248386,09,27,,0
,0,,,6761,,TURF,04FL,,100,,,3000,,,254455,09,27,,0
,1,,920,6762,-83.1928,TURF-G,04I,-83.1847,120,,39.9131,2382,,920,251866,06,24,39.9092,0
,0,,,6763,,TURF-G,04IA,,84,,,2310,,,250269,18,36,,0
,0,,,6764,,DIRT-F,04ID,,25,,,3000,,,248055,07,25,,0
,0,,,6765,,TURF,04II,,72,,,1372,,,247381,18,36,,0
,0,,,6766,,TURF,04IL,,70,,,1700,,,258147,N,S,,0
,0,,,45410,,WATER,04IN,,1000,,,4000,,,264167,13W,31W,,0
,0,400,,6767,,TURF,04IS,,150,,,2200,,,252471,09,27,,0
,0,,,6768,,TURF-GRVL,04KS,,60,,,400,,,265080,H1,,,0
,0,,,6769,,ASPH,04KY,,30,,,1700,,,249845,15,33,,0
,1,,,6770,,CONC,04LA,,40,,,40,,,265081,H1,,,0
,0,,,6771,,TURF,04LL,,70,,,3700,,,256788,09,27,,0
,0,,,6772,,CONC-G,04LS,,60,,,60,,,265082,H1,,,0
,0,,,6773,,TURF,04MA,,300,,,2100,,,255931,16,34,,0
,1,,,6774,,ASPH,04MD,,50,,,50,,,265083,H1,,,0
,0,,,6775,,TURF,04ME,,120,,,1950,,,250921,15,33,,0
225,0,450,,6776,,TURF-G,04MI,,100,,,2000,,,249123,18,36,,0
,0,,,6777,,TURF,04MN,,150,,,2500,,,253156,10,28,,0
,0,,,6778,,TURF,04MO,,150,,,2600,,,247380,18,36,,0
,0,,,6779,-90.8373,ASPH-TURF,04MS,-90.8373,100,180,32.9349,3400,,,239977,17,35,32.9442,0
,0,,,6780,,TURF,04MT,,100,,,2100,,,247254,E,W,,0
,0,,,6780,,TURF,04MT,,100,,,1900,,,247255,N,S,,0
,0,,,6781,,ASPH,04NC,,35,,,91,,,269440,H1,,,0
,0,,,6782,,TURF,04NE,,100,,,2500,,,250070,N,S,,0
300,1,600,,6783,,TURF,04NJ,,50,,,3500,,,249124,08,26,,0
,1,,,6784,-115.668,ASPH,04NV,-115.662,45,33.5,35.7592,3240,,,240873,02,20,35.7518,0
1700,0,,,6785,,TURF,04NY,,50,,,5200,,,256237,02,20,,0
,0,,,45733,,CONC,04OG,,100,,,50,,,264637,H1,,,0
,0,,,6786,,TURF,04OH,,70,,,2200,,,257547,N,S,,0
,0,,,6787,,CONC,04OK,,45,,,45,,,269441,H1,,,0
,0,,,6789,,CONC,04PA,,100,,,100,,,269442,H1,,,0
,0,,,6790,,CONC,04PN,,70,,,70,,,269443,H1,,,0
,0,,,6791,,CONC,04SC,,50,,,50,,,269444,H1,,,0
,0,,2437,325773,,CON,04SD,,46,,,46,,,325774,H1,H1,,0
,0,,,6792,,CONC,04TA,,40,,,60,,,269445,H1,,,0
,0,,,6793,,TURF,04TE,,30,,,30,,,269446,H1,,,0
,0,,,6794,,ASPH,04TN,,50,,,3000,,,248352,01,19,,0
,0,,,6795,,TURF,04TS,,20,,,20,,,269447,H1,,,0
,0,,1550,342438,-99.5454,ASP,04TT,-99.5459,55,,29.7067,4645,,1523,342439,18,36,29.7195,0
,0,,,6796,,TURF,04TX,,50,,,2000,,,254703,12,30,,0
,0,,,6797,,DIRT,04UT,,50,,,3700,,,251630,04,22,,0
,0,,,6798,-106.186,GRVL-G,04V,-106.163,55,118,38.0941,7745,298,,248135,10,28,38.1041,0
,1,,,6799,,CONC,04VA,,50,,,50,,,269448,H1,,,0
,0,,,6800,,TURF-F,04VG,,80,,,3500,,,249896,01,19,,0
,0,,,6800,,TURF-F,04VG,,70,,,1800,,,249897,11,29,,0
